"od_region","Year","fit","lwr","upr"
"Sub-Saharan Africa",2015,17733.1748119743,10720.3322179741,29333.5581881311
"Sub-Saharan Africa",2016,22675.1788204369,14521.7031175466,35406.57251955
"Sub-Saharan Africa",2017,28981.3543490712,19548.079481938,42966.8244741124
"Sub-Saharan Africa",2018,37021.0802281785,26079.5823478784,52553.0034560821
"Sub-Saharan Africa",2019,47276.4080261173,34372.2741561109,65025.0473885088
"Sub-Saharan Africa",2020,60360.5693672131,44591.6167305383,81705.9035188329
"Sub-Saharan Africa",2021,77038.4495084396,56793.4392364317,104500.146186908
"Sub-Saharan Africa",2022,98284.1821566479,71034.8285462093,135986.53871484
"Sub-Saharan Africa",2023,125464.343957788,87594.8940726482,179705.698276236
"Sub-Saharan Africa",2024,156065.07985984,104099.501165076,233971.430017088
